dataset1,dataset2,feature,csi
other,validation,V3,0.10071570407675745
other,test,V3,0.09390449758024519
train,validation,V3,0.08598437655241233
other,validation,V12,0.08353045404980294
other,test,V12,0.08341528620048505
other,test,V11,0.0628611218318273
other,validation,V11,0.06284398644263002
train,test,V3,0.04304423937087508
other,test,V28,0.0407536058187356
other,validation,V25,0.03848290295272161
train,test,V28,0.03789520920646118
train,test,V11,0.035706323036563334
train,validation,V11,0.03500453537036792
other,test,V13,0.03337076258696214
other,validation,V22,0.031469305495179775
other,validation,V13,0.028820054277883717
other,validation,V14,0.024186662721313482
train,validation,V15,0.021762007078962885
other,validation,V15,0.021475218439472962
train,validation,V22,0.021154140926742795
other,test,V4,0.020945568254504044
train,test,V15,0.02045529817823508
other,test,V15,0.018925110996445504
other,test,V26,0.018140402189261814
other,test,V25,0.017573897814444343
other,validation,V4,0.01645627358292616
train,test,V12,0.015887888211564193
train,test,V4,0.01567247840476518
train,test,V5,0.013409465525200889
train,test,V25,0.012683575089289805
other,test,V24,0.012008254310411696
train,other,V9,0.011258902025077299
train,test,V26,0.011066002639627922
train,validation,V12,0.011032954763331345
train,validation,V25,0.010950361159035759
other,test,V5,0.010689472393563684
other,test,V18,0.01065500705497162
train,validation,V13,0.01064289509301537
train,validation,V4,0.010596214852972102
other,test,V14,0.010529511929370208
train,other,V12,0.010522648083042525
other,test,V22,0.010400310778873349
other,test,V9,0.009974886094217112
train,test,V13,0.009490149141659921
other,test,V2,0.009201037295017329
other,validation,V18,0.009184165547308472
other,validation,V9,0.008887471768914555
train,test,V14,0.008854989148221038
train,validation,V14,0.008835694667501117
train,validation,V26,0.0087945615607418
train,other,V3,0.008220839643244025
other,validation,V26,0.007700905505048071
other,validation,V10,0.0074233494768068215
train,other,V13,0.006223957083057117
train,test,V9,0.006209614963519396
train,other,V26,0.006203652662645782
other,test,V19,0.005895370739076677
other,validation,V2,0.004863748313791128
train,other,V11,0.004781217903862247
train,other,V4,0.00449710930497778
other,validation,V19,0.0044272901859740066
train,test,V24,0.004077661328344824
train,validation,V9,0.0037076939248081404
other,test,V17,0.0036822232913489767
other,test,V20,0.0029590051729828453
other,validation,V17,0.002835458769277996
train,test,V18,0.0028206802379887414
other,validation,V1,0.002714363760618221
train,other,V18,0.002534380908496018
train,validation,V10,0.002522013706884032
train,other,V24,0.002260979983044287
other,validation,V5,0.0022528917820753896
train,validation,V5,0.002247145405348385
other,validation,V20,0.0021760109029459883
other,test,V1,0.0021545698215473504
train,validation,V18,0.0020827965972706553
train,other,V2,0.001993278042505985
train,other,V1,0.001919710997074122
train,test,V17,0.0018420396865544899
train,other,V14,0.001768560574979804
train,other,V10,0.0017240319979702015
train,other,V6,0.0016672423593392684
train,other,V22,0.0016640248306607197
train,test,V19,0.0015631525097622885
train,test,V22,0.0015404607994254586
other,validation,V6,0.0015282720046296324
train,other,V5,0.0014575430895155449
train,other,V17,0.0014476040044816333
train,validation,V24,0.0014205125139162584
other,validation,V23,0.001321991767009806
other,validation,V24,0.0012968282010911408
train,test,V20,0.001270915292027418
train,other,V25,0.0012619591259111244
train,test,V10,0.0012480080272996635
other,test,V8,0.0012373103159133364
train,validation,V16,0.0012322405772880007
other,test,V21,0.0011702588080318248
other,validation,V7,0.001145270800664408
other,validation,Amount,0.0011430358851601467
test,validation,V12,0.0010384468763134328
other,validation,V16,0.0009823617090161905
test,validation,V26,0.0009441017866110712
train,other,V16,0.000937217891422573
test,validation,V10,0.0009311316084916844
train,other,Amount,0.0009238262825194592
train,other,V20,0.0009187860152350036
train,validation,V17,0.0009120768476909473
test,validation,V25,0.0008667262449781743
test,validation,V19,0.000859397211346258
train,validation,V19,0.0008176249322608979
train,other,V7,0.0007907756217823518
other,validation,V8,0.0007481193201727861
other,test,V10,0.0006825071069092844
train,other,V23,0.0006780633967635112
test,validation,V18,0.0006767676790087653
train,other,V15,0.0006751717511017135
test,validation,V16,0.000672764512195421
test,validation,V22,0.0006680692860357078
test,validation,V4,0.0006365571752850737
other,test,V23,0.0006284633637834951
test,validation,V2,0.0006251586064784211
other,validation,V28,0.0006192796224229683
train,test,V16,0.0006015836948405144
test,validation,V13,0.0005741615630415855
other,validation,V27,0.0005707638656547262
train,other,V19,0.0005577782565179013
test,validation,V6,0.0005538544935589095
other,validation,V21,0.000543151116846539
test,validation,V9,0.0005320283251217708
train,validation,V20,0.0005249605554810413
train,validation,V2,0.000501426227572139
other,test,V6,0.0004884869463532936
test,validation,V23,0.00045236900676406505
train,other,V21,0.0004406358679287137
other,test,V27,0.00043933244010527196
test,validation,V24,0.0004198231792752473
other,test,V7,0.0003318007695900148
train,other,V27,0.0003202359691458883
test,validation,V20,0.00029776269323595424
test,validation,V14,0.0002842186975555929
train,other,V28,0.0002651422603735841
train,validation,V7,0.0002588503414760771
test,validation,V11,0.000256657452777258
test,validation,V28,0.0002531600239718947
other,test,V16,0.00024672683919964007
test,validation,Amount,0.0002403720388336185
test,validation,V21,0.00022614430967489207
test,validation,V8,0.0002243137781096933
test,validation,V15,0.00021856344921506403
train,validation,V28,0.00021540942217134233
test,validation,V7,0.00018967472339931606
test,validation,V27,0.00018269452916495782
train,test,V7,0.0001642991627054446
train,validation,V23,0.000161464397703748
test,validation,V1,0.00013849415273837448
train,test,V2,0.00010586369299290018
train,validation,V21,0.000103432892086133
train,test,V1,0.00010330007718338614
train,test,V23,9.242654998281828e-05
train,other,V8,9.135750065066803e-05
train,validation,V6,8.844696795706038e-05
train,validation,Amount,8.239401385577277e-05
train,validation,V8,6.875144388109907e-05
other,test,Amount,5.845022577839546e-05
train,validation,V1,5.7065539490371684e-05
test,validation,V3,4.6025988603725854e-05
test,validation,V5,4.4324479197670596e-05
train,test,Amount,4.1966843376779436e-05
test,validation,V17,3.9549872663145044e-05
train,validation,V27,3.83246638287185e-05
train,test,V21,2.6784324363531897e-05
train,test,V27,2.4101435209614934e-05
train,test,V6,2.3716817306686466e-05
train,test,V8,2.1315468634114104e-05
