feature,vif
V1,3.515280995806149
V2,5.624877861071533
V3,2.225365600359841
V4,2.009999215521414
V5,4.867090481700603
V6,2.9921132047762544
V7,5.150630970750353
V8,1.606664214944172
V9,1.6273925412327395
V10,2.7318670617315632
V11,2.1436086748207006
V12,5.876635676132823
V13,1.3114429290817802
V14,3.7457236630835347
V15,1.3977837126274983
V16,2.6206280358220795
V17,4.701240950912637
V18,1.6913520933187287
V19,1.1820961580026446
V20,2.2181011744063794
V21,1.379311598694952
V22,1.8998307094132416
V23,1.5515624225682858
V24,1.0444375855327033
V25,1.3457091652032753
V26,1.267654994482051
V27,1.4458525604567716
V28,1.544746597817599
Amount,14.842099430498703
